"","","Month","Month1","Country","Percentage Change"
"257",NA,"Apr-20",1,"Ireland","-98.89298893"
"258",NA,"May-20",2,"Ireland","-98.70848708"
"259",NA,"Jun-20",3,"Ireland","-98.33948339"
"260",NA,"Jul-20",4,"Ireland","-98.70848708"
"261",NA,"Aug-20",5,"Ireland","-98.33948339"
"262",NA,"Sep-20",6,"Ireland","-97.04797048"
"263",NA,"Oct-20",7,"Ireland","-97.04797048"
"264",NA,"Nov-20",8,"Ireland","-97.78597786"
"265",NA,"Dec-20",9,"Ireland","-97.60147601"
"266",NA,"Jan-21",10,"Ireland","-96.12546125"
"267",NA,"Feb-21",11,"Ireland","-97.78597786"
"268",NA,"Mar-21",12,"Ireland","-97.60147601"
"269",NA,"Apr-21",13,"Ireland","-97.04797048"
"270",NA,"May-21",14,"Ireland","-95.20295203"
"271",NA,"Jun-21",15,"Ireland","-94.83394834"
"272",NA,"Jul-21",16,"Ireland","-94.8339483"
"273",NA,"Apr-20",1,"Austria","-98.4"
"274",NA,"May-20",2,"Austria","-100"
"275",NA,"Jun-20",3,"Austria","-99.2"
"276",NA,"Jul-20",4,"Austria","-98.4"
"277",NA,"Aug-20",5,"Austria","-99.2"
"278",NA,"Sep-20",6,"Austria","-98.4"
"279",NA,"Oct-20",7,"Austria","-97.6"
"280",NA,"Nov-20",8,"Austria","-98.4"
"281",NA,"Dec-20",9,"Austria","-98.4"
"282",NA,"Jan-21",10,"Austria","-95.2"
"283",NA,"Feb-21",11,"Austria","-98.4"
"284",NA,"Mar-21",12,"Austria","-97.6"
"285",NA,"Apr-21",13,"Austria","-97.6"
"286",NA,"May-21",14,"Austria","-96"
"287",NA,"Jun-21",15,"Austria","-97.6"
"288",NA,"Jul-21",16,"Austria","-97.6"
"289",NA,"Apr-20",1,"Belgium","-99.19354839"
"290",NA,"May-20",2,"Belgium","-99.19354839"
"291",NA,"Jun-20",3,"Belgium","-99.19354839"
"292",NA,"Jul-20",4,"Belgium","-99.19354839"
"293",NA,"Aug-20",5,"Belgium","-98.38709677"
"294",NA,"Sep-20",6,"Belgium","-98.38709677"
"295",NA,"Oct-20",7,"Belgium","-97.58064516"
"296",NA,"Nov-20",8,"Belgium","-97.58064516"
"297",NA,"Dec-20",9,"Belgium","-97.58064516"
"298",NA,"Jan-21",10,"Belgium","-96.77419355"
"299",NA,"Feb-21",11,"Belgium","-98.38709677"
"300",NA,"Mar-21",12,"Belgium","-98.38709677"
"301",NA,"Apr-21",13,"Belgium","-96.77419355"
"302",NA,"May-21",14,"Belgium","-95.96774194"
"303",NA,"Jun-21",15,"Belgium","-96.77419355"
"304",NA,"Jul-21",16,"Belgium","-96.7741935"
"305",NA,"Apr-20",1,"France","-99.15809167"
"306",NA,"May-20",2,"France","-99.25163704"
"307",NA,"Jun-20",3,"France","-98.97100094"
"308",NA,"Jul-20",4,"France","-98.97100094"
"309",NA,"Aug-20",5,"France","-98.59681946"
"310",NA,"Sep-20",6,"France","-98.59681946"
"311",NA,"Oct-20",7,"France","-97.38072965"
"312",NA,"Nov-20",8,"France","-97.66136576"
"313",NA,"Dec-20",9,"France","-97.8484565"
"314",NA,"Jan-21",10,"France","-97.10009355"
"315",NA,"Feb-21",11,"France","-97.94200187"
"316",NA,"Mar-21",12,"France","-97.94200187"
"317",NA,"Apr-21",13,"France","-97.94200187"
"318",NA,"May-21",14,"France","-96.91300281"
"319",NA,"Jun-21",15,"France","-96.16463985"
"320",NA,"Jul-21",16,"France","-97.0065482"
"321",NA,"Apr-20",1,"Germany","-98.4206748"
"322",NA,"May-20",2,"Germany","-99.56927495"
"323",NA,"Jun-20",3,"Germany","-99.06676238"
"324",NA,"Jul-20",4,"Germany","-99.28212491"
"325",NA,"Aug-20",5,"Germany","-99.28212491"
"326",NA,"Sep-20",6,"Germany","-99.06676238"
"327",NA,"Oct-20",7,"Germany","-98.56424982"
"328",NA,"Nov-20",8,"Germany","-98.4206748"
"329",NA,"Dec-20",9,"Germany","-98.77961235"
"330",NA,"Jan-21",10,"Germany","-98.49246231"
"331",NA,"Feb-21",11,"Germany","-98.77961235"
"332",NA,"Mar-21",12,"Germany","-98.34888729"
"333",NA,"Apr-21",13,"Germany","-98.49246231"
"334",NA,"May-21",14,"Germany","-97.77458722"
"335",NA,"Jun-21",15,"Germany","-97.77458722"
"336",NA,"Jul-21",16,"Germany","-98.0617373"
"337",NA,"Apr-20",1,"Liechtenstein","-100"
"338",NA,"May-20",2,"Liechtenstein","-100"
"339",NA,"Jun-20",3,"Liechtenstein","-100"
"340",NA,"Jul-20",4,"Liechtenstein","-100"
"341",NA,"Aug-20",5,"Liechtenstein","-100"
"342",NA,"Sep-20",6,"Liechtenstein","-100"
"343",NA,"Oct-20",7,"Liechtenstein","-100"
"344",NA,"Nov-20",8,"Liechtenstein","-100"
"345",NA,"Dec-20",9,"Liechtenstein","-100"
"346",NA,"Jan-21",10,"Liechtenstein","-100"
"347",NA,"Feb-21",11,"Liechtenstein","-100"
"348",NA,"Mar-21",12,"Liechtenstein","-100"
"349",NA,"Apr-21",13,"Liechtenstein","-100"
"350",NA,"May-21",14,"Liechtenstein","-100"
"351",NA,"Jun-21",15,"Liechtenstein","-100"
"352",NA,"Jul-21",16,"Liechtenstein","-100"
"353",NA,"Apr-20",1,"Luxembourg","-100"
"354",NA,"May-20",2,"Luxembourg","-100"
"355",NA,"Jun-20",3,"Luxembourg","-100"
"356",NA,"Jul-20",4,"Luxembourg","-100"
"357",NA,"Aug-20",5,"Luxembourg","-100"
"358",NA,"Sep-20",6,"Luxembourg","-100"
"359",NA,"Oct-20",7,"Luxembourg","-100"
"360",NA,"Nov-20",8,"Luxembourg","-100"
"361",NA,"Dec-20",9,"Luxembourg","-100"
"362",NA,"Jan-21",10,"Luxembourg","-100"
"363",NA,"Feb-21",11,"Luxembourg","-100"
"364",NA,"Mar-21",12,"Luxembourg","-100"
"365",NA,"Apr-21",13,"Luxembourg","-100"
"366",NA,"May-21",14,"Luxembourg","-100"
"367",NA,"Jun-21",15,"Luxembourg","-100"
"368",NA,"Jul-21",16,"Luxembourg","-100"
"369",NA,"Apr-20",1,"Monaco","-100"
"370",NA,"May-20",2,"Monaco","-100"
"371",NA,"Jun-20",3,"Monaco","-100"
"372",NA,"Jul-20",4,"Monaco","-100"
"373",NA,"Aug-20",5,"Monaco","-100"
"374",NA,"Sep-20",6,"Monaco","-100"
"375",NA,"Oct-20",7,"Monaco","-100"
"376",NA,"Nov-20",8,"Monaco","-100"
"377",NA,"Dec-20",9,"Monaco","-100"
"378",NA,"Jan-21",10,"Monaco","-100"
"379",NA,"Feb-21",11,"Monaco","-100"
"380",NA,"Mar-21",12,"Monaco","-100"
"381",NA,"Apr-21",13,"Monaco","-100"
"382",NA,"May-21",14,"Monaco","-100"
"383",NA,"Jun-21",15,"Monaco","-100"
"384",NA,"Jul-21",16,"Monaco","-100"
"385",NA,"Apr-20",1,"Netherlands","-99.3166287"
"386",NA,"May-20",2,"Netherlands","-98.86104784"
"387",NA,"Jun-20",3,"Netherlands","-98.6332574"
"388",NA,"Jul-20",4,"Netherlands","-98.40546697"
"389",NA,"Aug-20",5,"Netherlands","-98.86104784"
"390",NA,"Sep-20",6,"Netherlands","-97.72209567"
"391",NA,"Oct-20",7,"Netherlands","-97.72209567"
"392",NA,"Nov-20",8,"Netherlands","-97.72209567"
"393",NA,"Dec-20",9,"Netherlands","-97.03872437"
"394",NA,"Jan-21",10,"Netherlands","-96.81093394"
"395",NA,"Feb-21",11,"Netherlands","-97.26651481"
"396",NA,"Mar-21",12,"Netherlands","-97.9498861"
"397",NA,"Apr-21",13,"Netherlands","-96.35535308"
"398",NA,"May-21",14,"Netherlands","-94.30523918"
"399",NA,"Jun-21",15,"Netherlands","-96.12756264"
"400",NA,"Jul-21",16,"Netherlands","-96.5831435"
"401",NA,"Apr-20",1,"Switzerland","-99.20318725"
"402",NA,"May-20",2,"Switzerland","-99.20318725"
"403",NA,"Jun-20",3,"Switzerland","-99.60159363"
"404",NA,"Jul-20",4,"Switzerland","-99.20318725"
"405",NA,"Aug-20",5,"Switzerland","-99.60159363"
"406",NA,"Sep-20",6,"Switzerland","-99.20318725"
"407",NA,"Oct-20",7,"Switzerland","-98.80478088"
"408",NA,"Nov-20",8,"Switzerland","-99.20318725"
"409",NA,"Dec-20",9,"Switzerland","-98.80478088"
"410",NA,"Jan-21",10,"Switzerland","-98.4063745"
"411",NA,"Feb-21",11,"Switzerland","-98.80478088"
"412",NA,"Mar-21",12,"Switzerland","-98.80478088"
"413",NA,"Apr-21",13,"Switzerland","-99.20318725"
"414",NA,"May-21",14,"Switzerland","-98.4063745"
"415",NA,"Jun-21",15,"Switzerland","-98.4063745"
"416",NA,"Jul-21",16,"Switzerland","-98.8047809"
"417",NA,"Apr-20",1,"Denmark","-98.7654321"
"418",NA,"May-20",2,"Denmark","-98.14814815"
"419",NA,"Jun-20",3,"Denmark","-98.7654321"
"420",NA,"Jul-20",4,"Denmark","-99.38271605"
"421",NA,"Aug-20",5,"Denmark","-98.7654321"
"422",NA,"Sep-20",6,"Denmark","-98.14814815"
"423",NA,"Oct-20",7,"Denmark","-97.5308642"
"424",NA,"Nov-20",8,"Denmark","-97.5308642"
"425",NA,"Dec-20",9,"Denmark","-97.5308642"
"426",NA,"Jan-21",10,"Denmark","-97.5308642"
"427",NA,"Feb-21",11,"Denmark","-98.14814815"
"428",NA,"Mar-21",12,"Denmark","-98.14814815"
"429",NA,"Apr-21",13,"Denmark","-98.14814815"
"430",NA,"May-21",14,"Denmark","-96.91358025"
"431",NA,"Jun-21",15,"Denmark","-96.91358025"
"432",NA,"Jul-21",16,"Denmark","-98.1481481"
"433",NA,"Apr-20",1,"Faroe Islands","0"
"434",NA,"May-20",2,"Faroe Islands","0"
"435",NA,"Jun-20",3,"Faroe Islands","0"
"436",NA,"Jul-20",4,"Faroe Islands","0"
"437",NA,"Aug-20",5,"Faroe Islands","0"
"438",NA,"Sep-20",6,"Faroe Islands","0"
"439",NA,"Oct-20",7,"Faroe Islands","0"
"440",NA,"Nov-20",8,"Faroe Islands","0"
"441",NA,"Dec-20",9,"Faroe Islands","0"
"442",NA,"Jan-21",10,"Faroe Islands","0"
"443",NA,"Feb-21",11,"Faroe Islands","0"
"444",NA,"Mar-21",12,"Faroe Islands","0"
"445",NA,"Apr-21",13,"Faroe Islands","0"
"446",NA,"May-21",14,"Faroe Islands","0"
"447",NA,"Jun-21",15,"Faroe Islands","0"
"448",NA,"Jul-21",16,"Faroe Islands","0"
"449",NA,"Apr-20",1,"Finland","-98.7654321"
"450",NA,"May-20",2,"Finland","-98.7654321"
"451",NA,"Jun-20",3,"Finland","-98.7654321"
"452",NA,"Jul-20",4,"Finland","-97.5308642"
"453",NA,"Aug-20",5,"Finland","-97.5308642"
"454",NA,"Sep-20",6,"Finland","-98.7654321"
"455",NA,"Oct-20",7,"Finland","-97.5308642"
"456",NA,"Nov-20",8,"Finland","-98.7654321"
"457",NA,"Dec-20",9,"Finland","-96.2962963"
"458",NA,"Jan-21",10,"Finland","-97.5308642"
"459",NA,"Feb-21",11,"Finland","-98.7654321"
"460",NA,"Mar-21",12,"Finland","-97.5308642"
"461",NA,"Apr-21",13,"Finland","-97.5308642"
"462",NA,"May-21",14,"Finland","-95.0617284"
"463",NA,"Jun-21",15,"Finland","-96.2962963"
"464",NA,"Jul-21",16,"Finland","-96.2962963"
"465",NA,"Apr-20",1,"Iceland","-100"
"466",NA,"May-20",2,"Iceland","-100"
"467",NA,"Jun-20",3,"Iceland","-100"
"468",NA,"Jul-20",4,"Iceland","-100"
"469",NA,"Aug-20",5,"Iceland","-100"
"470",NA,"Sep-20",6,"Iceland","-100"
"471",NA,"Oct-20",7,"Iceland","-83.33333333"
"472",NA,"Nov-20",8,"Iceland","-100"
"473",NA,"Dec-20",9,"Iceland","-100"
"474",NA,"Jan-21",10,"Iceland","-100"
"475",NA,"Feb-21",11,"Iceland","-100"
"476",NA,"Mar-21",12,"Iceland","-100"
"477",NA,"Apr-21",13,"Iceland","-100"
"478",NA,"May-21",14,"Iceland","-100"
"479",NA,"Jun-21",15,"Iceland","-100"
"480",NA,"Jul-21",16,"Iceland","-100"
"481",NA,"Apr-20",1,"Norway","-98.24561404"
"482",NA,"May-20",2,"Norway","-98.24561404"
"483",NA,"Jun-20",3,"Norway","-98.24561404"
"484",NA,"Jul-20",4,"Norway","-98.24561404"
"485",NA,"Aug-20",5,"Norway","-99.12280702"
"486",NA,"Sep-20",6,"Norway","-98.24561404"
"487",NA,"Oct-20",7,"Norway","-97.36842105"
"488",NA,"Nov-20",8,"Norway","-97.36842105"
"489",NA,"Dec-20",9,"Norway","-96.49122807"
"490",NA,"Jan-21",10,"Norway","-97.36842105"
"491",NA,"Feb-21",11,"Norway","-98.24561404"
"492",NA,"Mar-21",12,"Norway","-98.24561404"
"493",NA,"Apr-21",13,"Norway","-98.24561404"
"494",NA,"May-21",14,"Norway","-95.61403509"
"495",NA,"Jun-21",15,"Norway","-96.49122807"
"496",NA,"Jul-21",16,"Norway","-97.3684211"
"497",NA,"Apr-20",1,"Sweden","-99.49748744"
"498",NA,"May-20",2,"Sweden","-98.99497487"
"499",NA,"Jun-20",3,"Sweden","-98.99497487"
"500",NA,"Jul-20",4,"Sweden","-98.49246231"
"501",NA,"Aug-20",5,"Sweden","-98.49246231"
"502",NA,"Sep-20",6,"Sweden","-98.49246231"
"503",NA,"Oct-20",7,"Sweden","-97.98994975"
"504",NA,"Nov-20",8,"Sweden","-97.48743719"
